profile_id,display_label,domain,term_type,curated_umbrella,lexicon_provenance,candidate_origins,evidence_count,source_count,latest_year,declared_confidence_0_10,declared_disposition,evidence_snippets,standardization_disposition,standardized_label,concept_id,source_vocabulary,semantic_types,match_method,normalization_confidence_0_10,normalization_reason,mesh_umbrella,public_umbrella,umbrella_method
030f8cde-f2ae-4824-8f5b-98102638bf51,Mental Health,medical,research_area,Mental Health and Psychiatry,linkedin_expertise_lexicon_v1,linkedin_experience_description_current | linkedin_experience_title_current,3,2,2026,9.9,publish,"Research Student in the BrainKids Lab under Dr. Kara Murias I am interested in learning about the use of non-invasive brain stimulation as a treatment for neurodevelopmental and mental health disorders in kids. I’m currently analyzing Diffusion Weighted Imaging MRI scans in kids with and without ADHD. || Mental Health Research 4 Kids - Research Partner | Mathison Centre for Mental Health Research & Education || Mental Health Research 4 Kids - Co-Chair, Many Voices Council | Mathison Centre for Mental Health Research & Education",accepted,Mental Health,C0025353,MSH,Mental Process,umls_exact,9.53,filtered UMLS concept with curated HBI umbrella,Mental Health,Mental Health and Psychiatry,versioned LinkedIn expertise lexicon
030f8cde-f2ae-4824-8f5b-98102638bf51,Child Health,medical,research_area,,hbi_hybrid_accepted | hbi_hybrid_accepted | hbi_hybrid_accepted,linkedin_about,1,1,0,8.55,publish,Passionate about child health and wellness.,review,Child Health,D000067576,MSH,,mesh_fallback,10.0,local MeSH fallback after broad UMLS candidate search,,,
030f8cde-f2ae-4824-8f5b-98102638bf51,Brain Stimulation,medical,technology,Neuroengineering and Medical Technology,linkedin_expertise_lexicon_v1,linkedin_experience_description_current,1,1,2026,7.95,publish,Research Student in the BrainKids Lab under Dr. Kara Murias I am interested in learning about the use of non-invasive brain stimulation as a treatment for neurodevelopmental and mental health disorders in kids. I’m currently analyzing Diffusion Weighted Imaging MRI scans in kids with and without ADHD.,review,Brain stimulation,C0870227,SNOMEDCT_US,Therapeutic or Preventive Procedure,umls_exact,9.85,medical UMLS concept found without a MeSH representation,Pharmacology and Therapeutics,Neuroengineering and Medical Technology,versioned LinkedIn expertise lexicon
030f8cde-f2ae-4824-8f5b-98102638bf51,Magnetic Resonance Imaging,medical,method,Neuroimaging and Medical Imaging,linkedin_expertise_lexicon_v1,linkedin_experience_description_current,1,1,2026,7.95,publish,Research Student in the BrainKids Lab under Dr. Kara Murias I am interested in learning about the use of non-invasive brain stimulation as a treatment for neurodevelopmental and mental health disorders in kids. I’m currently analyzing Diffusion Weighted Imaging MRI scans in kids with and without ADHD.,accepted,Magnetic Resonance Imaging,C0024485,MSH,Diagnostic Procedure,umls_exact,10.0,filtered UMLS concept with curated HBI umbrella,Imaging and Diagnostics,Neuroimaging and Medical Imaging,versioned LinkedIn expertise lexicon
03db3f72-1adc-4d08-bdde-9864a58cb2a6,Deep Learning,computing,method,Artificial Intelligence and Data Science,linkedin_expertise_lexicon_v1,linkedin_about | linkedin_skill,2,2,0,9.9,publish,"PhD candidate in Biomedical Engineering with 8+ years of experience in biomedical image and signal processing, machine learning, and data analysis. I am proficient in MATLAB, Python, and C/C++, with strong expertise in statistical analysis, mathematical modelling, and deep learning. My research focuses on estimating and correcting motion during MRI acquisition using EEG signals, with applications in EEGfMRI analysis. I build data pipelines, develop ML algorithms, and design tools for EEG and MRI analysis, contributing to feature extraction, image processing, visualization, and hardwaresoftware || Deep Learning",not_attempted,,,,,,0.0,UMLS skipped for cross-domain/tool term,,Artificial Intelligence and Data Science,versioned LinkedIn expertise lexicon
03db3f72-1adc-4d08-bdde-9864a58cb2a6,Electrocardiography,medical,method,Physiology and Systems Biology,linkedin_expertise_lexicon_v1,linkedin_skill,1,1,0,9.9,publish,ECG Interpretation,review,Electrocardiography,C1623258,MSH,Diagnostic Procedure,umls_exact,9.83,medical UMLS concept found; HBI umbrella requires review,,Physiology and Systems Biology,versioned LinkedIn expertise lexicon
03db3f72-1adc-4d08-bdde-9864a58cb2a6,Electroencephalography,medical,method,Neuroimaging and Medical Imaging,linkedin_expertise_lexicon_v1,linkedin_about | linkedin_about_explicit,2,2,0,9.9,publish,"PhD candidate in Biomedical Engineering with 8+ years of experience in biomedical image and signal processing, machine learning, and data analysis. I am proficient in MATLAB, Python, and C/C++, with strong expertise in statistical analysis, mathematical modelling, and deep learning. My research focuses on estimating and correcting motion during MRI acquisition using EEG signals, with applications in EEGfMRI analysis. I build data pipelines, develop ML algorithms, and design tools for EEG and MRI analysis, contributing to feature extraction, image processing, visualization, and hardwaresoftware",accepted,Electroencephalography,D004569,MSH,,mesh_reviewed_alias,9.9,reviewed local alias plus MeSH hierarchy umbrella,Neuroscience and Neural Systems,Neuroimaging and Medical Imaging,versioned LinkedIn expertise lexicon
03db3f72-1adc-4d08-bdde-9864a58cb2a6,Magnetic Resonance Imaging,medical,method,Neuroimaging and Medical Imaging,linkedin_expertise_lexicon_v1,linkedin_about | linkedin_about_explicit,2,2,0,9.9,publish,"PhD candidate in Biomedical Engineering with 8+ years of experience in biomedical image and signal processing, machine learning, and data analysis. I am proficient in MATLAB, Python, and C/C++, with strong expertise in statistical analysis, mathematical modelling, and deep learning. My research focuses on estimating and correcting motion during MRI acquisition using EEG signals, with applications in EEGfMRI analysis. I build data pipelines, develop ML algorithms, and design tools for EEG and MRI analysis, contributing to feature extraction, image processing, visualization, and hardwaresoftware",accepted,Magnetic Resonance Imaging,C0024485,MSH,Diagnostic Procedure,umls_exact,10.0,filtered UMLS concept with curated HBI umbrella,Imaging and Diagnostics,Neuroimaging and Medical Imaging,versioned LinkedIn expertise lexicon
03db3f72-1adc-4d08-bdde-9864a58cb2a6,Medical Image Processing,engineering,method,Neuroimaging and Medical Imaging,linkedin_expertise_lexicon_v1,linkedin_about | linkedin_skill,2,2,0,9.9,publish,"PhD candidate in Biomedical Engineering with 8+ years of experience in biomedical image and signal processing, machine learning, and data analysis. I am proficient in MATLAB, Python, and C/C++, with strong expertise in statistical analysis, mathematical modelling, and deep learning. My research focuses on estimating and correcting motion during MRI acquisition using EEG signals, with applications in EEGfMRI analysis. I build data pipelines, develop ML algorithms, and design tools for EEG and MRI analysis, contributing to feature extraction, image processing, visualization, and hardwaresoftware || Image Processing",not_attempted,,,,,,0.0,UMLS skipped for cross-domain/tool term,,Neuroimaging and Medical Imaging,versioned LinkedIn expertise lexicon
03db3f72-1adc-4d08-bdde-9864a58cb2a6,Artificial Intelligence,computing,method,Artificial Intelligence and Data Science,linkedin_expertise_lexicon_v1,linkedin_headline,1,1,0,9.55,publish,Founder and CEO at Thrive Global | Passionate about Health and AI,not_attempted,,,,,,0.0,UMLS skipped for cross-domain/tool term,,Artificial Intelligence and Data Science,versioned LinkedIn expertise lexicon
