profile,profile_id,original,raw_normalized,research_area_normalized,matched_candidate_terms,matched_sources,matched_cuis,has_umls_match,final_output,final_output_simplified,final_output_simplified_cleaned,source_weight,tag_weight,research_tag_publishable
Donovan Smith,639a2e46-1f1b-4d39-bf3e-786c15609979,R (Programming Language),r programming language,Living language program,programming language,SNOMEDCT_US,C0589161,yes,Living language program,R (Programming Language),R Programming Language,1.0,0.8433333333333333,R Programming Language
Donovan Smith,639a2e46-1f1b-4d39-bf3e-786c15609979,Microsurgery,microsurgery,Transanal Endoscopic Microsurgery | Microsurgery | Microsurgery - action,microsurgery,MTH | MSH | SNOMEDCT_US,C4042939 | C0026035 | C1292799,yes,Transanal Endoscopic Microsurgery | Microsurgery | Microsurgery - action,Microsurgery,Microsurgery,1.0,1.12,Microsurgery
Donovan Smith,639a2e46-1f1b-4d39-bf3e-786c15609979,Chemogenetics,chemogenetics,,chemogenetics,,,no,chemogenetics,Chemogenetics,Chemogenetics,1.0,1.0,Chemogenetics
Donovan Smith,639a2e46-1f1b-4d39-bf3e-786c15609979,Optogenetics,optogenetics,,optogenetics,,,no,optogenetics,Optogenetics,Optogenetics,1.0,1.0,Optogenetics
Donovan Smith,639a2e46-1f1b-4d39-bf3e-786c15609979,Mouse Models,mouse models,"Gm114 protein, mouse | Ciart protein, mouse",mouse models,MSH,C2355380 | C3849185,yes,"Gm114 protein, mouse | Ciart protein, mouse",Mouse Models,Mouse Models,1.0,0.59,
Donovan Smith,639a2e46-1f1b-4d39-bf3e-786c15609979,Writing,writing,Difficulty writing,writing,SNOMEDCT_US,C0584995,yes,Difficulty writing,Difficulty writing,Writing,1.0,1.06,Writing
Donovan Smith,639a2e46-1f1b-4d39-bf3e-786c15609979,Manuscript,manuscript,,manuscript,,,no,manuscript,Manuscript,Manuscript,1.0,1.0,Manuscript
Donovan Smith,639a2e46-1f1b-4d39-bf3e-786c15609979,Editing,editing,,editing,,,no,editing,Editing,Editing,1.0,1.0,Editing
Donovan Smith,639a2e46-1f1b-4d39-bf3e-786c15609979,Computer Literacy,computer literacy,Computer simulation,computer literacy,MTH,C0009609,yes,Computer simulation,Computer Literacy,Computer Literacy,1.0,0.62,
Donovan Smith,639a2e46-1f1b-4d39-bf3e-786c15609979,Academic Editing,academic editing,Academic underachievement | Academic Problem,,MTH,C0476587 | C0000873,yes,Academic underachievement | Academic Problem,Academic Editing,Academic Editing,1.0,0.62,
